trdar_cd,district_name,obs_count,avg_closure_rate,high_risk_pct,avg_store_count,avg_sales
3110790,대림1동주민센터,350,0.0412,0.1657,5.5,187271730.0
3130274,사당1동먹자골목상점가(사당1동먹자골목),438,0.0412,0.1986,9.8,777367547.0
3110197,세종대왕기념관교차로,59,0.0412,0.1356,3.1,74950877.0
3120249,고덕역,843,0.0411,0.255,14.5,1855793989.0
3110819,신대방역 4번,602,0.0411,0.1811,6.9,289547767.0
3110463,응암3동주민센터,190,0.0411,0.1684,5.5,569563139.0
3120123,오류동역,748,0.0411,0.2139,9.2,750086616.0
3130050,청평화시장,46,0.0411,0.7609,1662.1,508020173.0
3120125,구로역,955,0.0411,0.3497,100.7,4023574448.0
3120001,서대문역,834,0.0411,0.2086,9.9,668270246.0
3110621,목동역 5번,173,0.0411,0.1098,6.4,744337430.0
3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",54,0.0411,0.6667,84.9,720305550.0
3120141,영등포청과시장교차로,450,0.0411,0.22,7.9,232642424.0
3120238,방이역,545,0.041,0.2202,10.0,881775449.0
3120026,을지로입구역,598,0.041,0.311,15.9,1711714836.0
3120024,회현역,448,0.041,0.2232,9.7,674529871.0
3110237,메가박스 상봉,447,0.0409,0.2215,10.7,449879928.0
3110671,등촌1동주민센터,635,0.0409,0.2157,8.8,969592114.0
3120097,충정로역,250,0.0409,0.148,6.0,396362939.0
3120114,목동신시가지,1146,0.0409,0.3962,41.5,1309682472.0
3130295,인헌시장(원당종합시장),598,0.0409,0.2207,7.4,585015378.0
3120229,방이동먹자골목,785,0.0409,0.3567,18.7,1844012017.0
3110437,당고개역 2번,239,0.0409,0.1841,6.4,118453089.0
3120072,성신여대,1111,0.0409,0.4149,23.0,1254754757.0
3110677,등촌역 1번,44,0.0409,0.1818,5.0,320624583.0
3110846,남성역 1번,699,0.0409,0.2046,8.3,280580585.0
3110232,동대부고,515,0.0408,0.165,8.0,966942715.0
3120136,영등포구청역,1058,0.0407,0.3129,15.6,720790311.0
3110670,신곡초등학교,256,0.0407,0.1836,6.3,162848037.0
3120210,선릉역,1192,0.0406,0.5529,49.5,2817488869.0
3120003,광화문역,929,0.0406,0.4144,27.1,1701779533.0
3110152,중곡어린이공원,147,0.0406,0.1361,4.8,221226282.0
3110673,뜸부기어린이공원,352,0.0406,0.1676,7.9,393378231.0
3110749,금산초등학교(금천고등학교),458,0.0405,0.1616,6.0,300088204.0
3110559,성산중학교,360,0.0405,0.3333,12.4,419267856.0
3110158,중곡3동주민센터,555,0.0405,0.2036,8.0,272841607.0
